학수번호-분반	과목명	교수명	학점	이수구분	강의시간표 및 장소	요일	교시	장소
GEKS007 - GX	[진로·창업] 1학년세미나 I	류지훈	1	교양	미정			
GEKS007 - GY	[진로·창업] 1학년세미나 I	박은영	1	교양	미정			
GEKS007 - GZ	[진로·창업] 1학년세미나 I	이민혁	1	교양	미정			
GEKS007 - H1	[진로·창업] 1학년세미나 I	정진호	1	교양	미정			
GEKS007 - H2	[진로·창업] 1학년세미나 I	배연재	1	교양	미정			
GEKS007 - H3	[진로·창업] 1학년세미나 I	현승훈	1	교양	미정			
GEKS007 - H4	[진로·창업] 1학년세미나 I	전진형	1	교양	미정			
GEKS007 - H5	[진로·창업] 1학년세미나 I	김재진	1	교양	미정			
GEKS007 - H6	[진로·창업] 1학년세미나 I	전성우	1	교양	미정			
GEKS007 - H7	[진로·창업] 1학년세미나 I	최윤이	1	교양	미정			
GEKS007 - H8	[진로·창업] 1학년세미나 I	Asia Khamzina	1	교양	미정			
GEKS007 - H9	[진로·창업] 1학년세미나 I	이정아	1	교양	미정			
GEKS007 - HA	[진로·창업] 1학년세미나 I	양승룡	1	교양	미정			
GEKS007 - HB	[진로·창업] 1학년세미나 I	조용성	1	교양	미정			
GEKS007 - HC	[진로·창업] 1학년세미나 I	서병선	1	교양	미정			
GEKS007 - HD	[진로·창업] 1학년세미나 I	임송수	1	교양	미정			
GEKS007 - HE	[진로·창업] 1학년세미나 I	안병일	1	교양	미정			
GEKS007 - HF	[진로·창업] 1학년세미나 I	김동현	1	교양	미정			
GEKS007 - HG	[진로·창업] 1학년세미나 I	서동희	1	교양	미정			
GEKS007 - HH	[진로·창업] 1학년세미나 I	이상현	1	교양	미정			
GEKS007 - HI	[진로·창업] 1학년세미나 I	이신화	1	교양	미정			
GEKS007 - HJ	[진로·창업] 1학년세미나 I	박홍규	1	교양	미정			
GEKS007 - HK	[진로·창업] 1학년세미나 I	권혁용	1	교양	미정			
GEKS007 - HL	[진로·창업] 1학년세미나 I	이동선	1	교양	미정			
GEKS007 - HM	[진로·창업] 1학년세미나 I	이용욱	1	교양	미정			
GEKS007 - HN	[진로·창업] 1학년세미나 I	주형민	1	교양	미정			
GEKS007 - HO	[진로·창업] 1학년세미나 I	김남국	1	교양	미정			
GEKS007 - HP	[진로·창업] 1학년세미나 I	정재관	1	교양	미정			
GEKS007 - HQ	[진로·창업] 1학년세미나 I	신재혁	1	교양	미정			
GEKS007 - HR	[진로·창업] 1학년세미나 I	김헌준	1	교양	미정			
GEKS007 - HS	[진로·창업] 1학년세미나 I	김성은	1	교양	미정			
GEKS007 - HT	[진로·창업] 1학년세미나 I	강우창	1	교양	미정			
GEKS007 - HU	[진로·창업] 1학년세미나 I	고지영	1	교양	미정			
GEKS007 - HV	[진로·창업] 1학년세미나 I	조희평	1	교양	미정			
GEKS007 - HW	[진로·창업] 1학년세미나 I	조희평	1	교양	미정			
GEKS007 - HX	[진로·창업] 1학년세미나 I	강민욱	1	교양	미정			
GEKS007 - HY	[진로·창업] 1학년세미나 I	강민욱	1	교양	미정			
GEKS007 - HZ	[진로·창업] 1학년세미나 I	고영우	1	교양	미정			
GEKS007 - J1	[진로·창업] 1학년세미나 I	고영우	1	교양	미정			
GEKS007 - J2	[진로·창업] 1학년세미나 I	어윤종	1	교양	미정			
GEKS007 - J3	[진로·창업] 1학년세미나 I	어윤종	1	교양	미정			
GEKS007 - J4	[진로·창업] 1학년세미나 I	고강혁	1	교양	미정			
GEKS007 - J5	[진로·창업] 1학년세미나 I	고강혁	1	교양	미정			
GEKS007 - J6	[진로·창업] 1학년세미나 I	조원기	1	교양	미정			
GEKS007 - J7	[진로·창업] 1학년세미나 I	조원기	1	교양	미정			
GEKS007 - J8	[진로·창업] 1학년세미나 I	이진혁	1	교양	미정			
GEKS007 - J9	[진로·창업] 1학년세미나 I	이진혁	1	교양	미정			
GEKS007 - JA	[진로·창업] 1학년세미나 I	Dirk Bethmann	1	교양	미정			
GEKS007 - JB	[진로·창업] 1학년세미나 I	Dirk Bethmann	1	교양	미정			
GEKS007 - JC	[진로·창업] 1학년세미나 I	강규호	1	교양	미정			
GEKS007 - JD	[진로·창업] 1학년세미나 I	강규호	1	교양	미정			
GEKS007 - JE	[진로·창업] 1학년세미나 I	김덕파	1	교양	미정			
GEKS007 - JF	[진로·창업] 1학년세미나 I	김덕파	1	교양	미정			
GEKS007 - JG	[진로·창업] 1학년세미나 I	김경희	1	교양	미정			
GEKS007 - JH	[진로·창업] 1학년세미나 I	김경희	1	교양	미정			
GEKS007 - JI	[진로·창업] 1학년세미나 I	김광호	1	교양	미정			
GEKS007 - JJ	[진로·창업] 1학년세미나 I	김광호	1	교양	미정			
GEKS007 - JK	[진로·창업] 1학년세미나 I	박민규	1	교양	미정			
GEKS007 - JL	[진로·창업] 1학년세미나 I	박민규	1	교양	미정			
GEKS007 - JM	[진로·창업] 1학년세미나 I	송성주	1	교양	미정			
GEKS007 - JN	[진로·창업] 1학년세미나 I	송성주	1	교양	미정			
GEKS007 - JO	[진로·창업] 1학년세미나 I	송주원	1	교양	미정			
GEKS007 - JP	[진로·창업] 1학년세미나 I	송주원	1	교양	미정			
GEKS007 - JQ	[진로·창업] 1학년세미나 I	송준	1	교양	미정			
GEKS007 - JR	[진로·창업] 1학년세미나 I	송준	1	교양	미정			
GEKS007 - JS	[진로·창업] 1학년세미나 I	신승준	1	교양	미정			
GEKS007 - JT	[진로·창업] 1학년세미나 I	신승준	1	교양	미정			
GEKS007 - JU	[진로·창업] 1학년세미나 I	이재원	1	교양	미정			
GEKS007 - JV	[진로·창업] 1학년세미나 I	이재원	1	교양	미정			
GEKS007 - JW	[진로·창업] 1학년세미나 I	임성빈	1	교양	미정			
GEKS007 - JX	[진로·창업] 1학년세미나 I	임성빈	1	교양	미정			
GEKS007 - JY	[진로·창업] 1학년세미나 I	정윤서	1	교양	미정			
GEKS007 - JZ	[진로·창업] 1학년세미나 I	정윤서	1	교양	미정			
GEKS007 - K1	[진로·창업] 1학년세미나 I	최상범	1	교양	미정			
GEKS007 - K2	[진로·창업] 1학년세미나 I	최상범	1	교양	미정			
GEKS007 - K3	[진로·창업] 1학년세미나 I	최태련	1	교양	미정			
GEKS007 - K4	[진로·창업] 1학년세미나 I	최태련	1	교양	미정			
GEKS007 - K5	[진로·창업] 1학년세미나 I	최흥석	1	교양	미정			
GEKS007 - K6	[진로·창업] 1학년세미나 I	김태일	1	교양	미정			
GEKS007 - K7	[진로·창업] 1학년세미나 I	이응균	1	교양	미정			
GEKS007 - K8	[진로·창업] 1학년세미나 I	최진욱	1	교양	미정			
GEKS007 - K9	[진로·창업] 1학년세미나 I	이용숙	1	교양	미정			
GEKS007 - KA	[진로·창업] 1학년세미나 I	김현준	1	교양	미정			
GEKS007 - KB	[진로·창업] 1학년세미나 I	김두래	1	교양	미정			
GEKS007 - KC	[진로·창업] 1학년세미나 I	김희강	1	교양	미정			
GEKS007 - KD	[진로·창업] 1학년세미나 I	윤견수	1	교양	미정			
GEKS007 - KE	[진로·창업] 1학년세미나 I	임현	1	교양	미정			
GEKS007 - KF	[진로·창업] 1학년세미나 I	정해일	1	교양	미정			
GEKS007 - KG	[진로·창업] 1학년세미나 I	심동철	1	교양	미정			
GEKS007 - KH	[진로·창업] 1학년세미나 I	이창용	1	교양	미정			
GEKS007 - KI	[진로·창업] 1학년세미나 I	김도윤	1	교양	월(6)	['월']	[[6]]	['']
GEKS007 - KJ	[진로·창업] 1학년세미나 I	김준석	1	교양	월(6)	['월']	[[6]]	['']
GEKS007 - KK	[진로·창업] 1학년세미나 I	유상현	1	교양	월(6)	['월']	[[6]]	['']
GEKS007 - KL	[진로·창업] 1학년세미나 I	이동헌	1	교양	월(6)	['월']	[[6]]	['']
GEKS007 - KM	[진로·창업] 1학년세미나 I	허야용	1	교양	월(6)	['월']	[[6]]	['']
GEKS007 - KN	[진로·창업] 1학년세미나 I	김상집	1	교양	미정			
GEKS007 - KO	[진로·창업] 1학년세미나 I	김상집	1	교양	미정			
GEKS007 - KP	[진로·창업] 1학년세미나 I	김상집	1	교양	미정			
GEKS007 - KQ	[진로·창업] 1학년세미나 I	정재호	1	교양	미정			
GEKS007 - KR	[진로·창업] 1학년세미나 I	주진수	1	교양	미정			
GEKS007 - KS	[진로·창업] 1학년세미나 I	주진수	1	교양	미정			
GEKS007 - KT	[진로·창업] 1학년세미나 I	원은일	1	교양	미정			
GEKS007 - KU	[진로·창업] 1학년세미나 I	원은일	1	교양	미정			
GEKS007 - KV	[진로·창업] 1학년세미나 I	정재호	1	교양	미정			
